"normalized intensity (arb)(energy (eV)), created by Plot Digitizer, 2.6.4"
"Date: 8/4/15, 11:59:09 AM"


83
energy (eV),normalized intensity (arb)
7036.19,0.00517415,
7036.68,0.00547555,
7037.48,0.00600301,
7037.96,0.00668118,
7038.72,0.00803751,
7039.21,0.00864032,
7039.93,0.00969524,
7040.49,0.0105995,
7041.14,0.0122572,
7041.66,0.0138396,
7042.34,0.0154973,
7042.76,0.0166276,
7043.44,0.0191896,
7043.91,0.0204705,
7044.32,0.0216008,
7044.74,0.0227311,
7045.46,0.0238614,
7045.80,0.0241628,
7046.01,0.0239367,
7046.85,0.0234846,
7047.15,0.0230325,
7048.02,0.0222036,
7048.60,0.0217515,
7049.40,0.0213747,
7049.87,0.0212240,
7050.73,0.0211487,
7051.26,0.0212994,
7052.00,0.0220529,
7052.48,0.0228818,
7053.19,0.0251423,
7053.56,0.0268754,
7054.10,0.0301909,
7054.38,0.0321500,
7054.86,0.0356162,
7055.11,0.0379521,
7055.51,0.0417950,
7055.70,0.0437542,
7056.01,0.0480492,
7056.43,0.0543788,
7056.77,0.0610097,
7057.11,0.0677160,
7057.39,0.0744223,
7057.70,0.0810532,
7057.99,0.0876842,
7058.32,0.0943151,
7058.67,0.100946,
7058.82,0.103583,
7059.04,0.107577,
7059.31,0.110591,
7059.59,0.112098,
7059.86,0.112400,
7060.08,0.111119,
7060.20,0.109159,
7060.42,0.105090,
7060.67,0.0983088,
7060.83,0.0914518,
7061.01,0.0845194,
7061.17,0.0778131,
7061.32,0.0711068,
7061.50,0.0643252,
7061.63,0.0574682,
7061.82,0.0509126,
7062.03,0.0440556,
7062.27,0.0375000,
7062.58,0.0307184,
7063.02,0.0242381,
7063.23,0.0214501,
7063.60,0.0183607,
7063.94,0.0161001,
7064.50,0.0132368,
7064.95,0.0116544,
7065.64,0.00999665,
7066.88,0.00728399,
7068.13,0.00547555,
7068.66,0.00494809,
7069.46,0.00472204,
7069.96,0.00411922,
7070.73,0.00344106,
7071.28,0.00329035,
7072.12,0.00276289,
7072.58,0.00253684,
7073.36,0.00231078,
7073.91,0.00223543,
